 start_time,end_time,servce_provider,longi,lati,upload_speed,download_speed,delay,bandwith_1,earfcn_1,physical_cell_id_1,plmn_1,global_cell_id_1,ecgi_1,rsrp_1,rsrq_1,sinr_1,bandwith_2,earfcn_2,physical_cell_id_2,plmn_2,global_cell_id_1,ecgi_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 19_25_23.773137,2022-06-14 19_25_55.265043,JIO,NA,NA,5.76020720960231,13.1979718105998,64.876,20MHz,38948,129,405854,2001941,405854006f01e8c15,-70dBm,-10dB,5dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-85dBm,-10dB,19dB,0
2022-06-14 19_26_12.052492,2022-06-14 19_26_45.918986,JIO,NA,NA,5.36573645583603,10.5165788429094,50.459,20MHz,38948,129,405854,2001941,405854006f01e8c15,-95dBm,-10dB,11dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-95dBm,-10dB,5dB,0
2022-06-14 19_27_05.429460,2022-06-14 19_27_34.279848,JIO,NA,NA,5.75447113061073,13.5792531392525,57.499,20MHz,38948,129,405854,2001941,405854006f01e8c15,-95dBm,-10dB,14dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-89dBm,-10dB,10dB,0
2022-06-14 19_28_12.114365,2022-06-14 19_28_42.210837,JIO,NA,NA,5.2976481386461,13.0970988307709,57.073,20MHz,38948,129,405854,2001941,405854006f01e8c15,-94dBm,-10dB,9dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-94dBm,-10dB,14dB,0
2022-06-14 19_29_43.271729,2022-06-14 19_30_18.642265,JIO,NA,NA,6.61850261451846,15.1843766760268,50.373,20MHz,38948,129,405854,2001941,405854006f01e8c15,-94dBm,-10dB,17dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-94dBm,-10dB,16dB,0
2022-06-14 19_32_14.094977,2022-06-14 19_32_54.381146,JIO,NA,NA,4.39812224131658,12.5637838209728,56.901,20MHz,38948,129,405854,2001941,405854006f01e8c15,-93dBm,-10dB,17dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-86dBm,-10dB,19dB,1
2022-06-14 19_33_09.756162,2022-06-14 19_33_40.221233,JIO,NA,NA,6.09364673083543,14.726038366152,57.669,20MHz,38948,129,405854,2001941,405854006f01e8c15,-86dBm,-10dB,2dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,2dB,1
2022-06-14 19_33_53.501060,2022-06-14 19_34_22.398993,JIO,NA,NA,6.41525759222962,13.0104037611676,54.312,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,12dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,14dB,1
2022-06-14 19_34_55.673179,2022-06-14 19_35_24.600875,JIO,NA,NA,5.54819358291164,16.6507991029433,56.563,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,12dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,9dB,1
2022-06-14 19_35_48.612693,2022-06-14 19_36_22.364792,JIO,NA,NA,5.34491203115089,15.7383898597127,63.716,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,9dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-88dBm,-10dB,5dB,1
2022-06-14 19_38_57.465552,2022-06-14 19_39_26.540574,JIO,NA,NA,6.68200195218053,19.0227813879376,56.874,20MHz,38948,129,405854,2001941,405854006f01e8c15,-87dBm,-16dB,20dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-87dBm,-10dB,19dB,2
2022-06-14 19_40_45.537758,2022-06-14 19_41_19.847720,JIO,NA,NA,6.05937061666673,18.0148431679033,53.255,20MHz,38948,129,405854,2001941,405854006f01e8c15,-87dBm,-10dB,5dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-87dBm,-10dB,15dB,2
2022-06-14 19_41_49.149294,2022-06-14 19_42_21.786098,JIO,NA,NA,6.14943836268128,17.1284513926265,54.469,20MHz,38948,129,405854,2001941,405854006f01e8c15,-87dBm,-10dB,15dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-87dBm,-15dB,11dB,2
